Sample Size,cohen_d,data,PmP,AABF,JZSBF,pval,cohenD,matrix
14,0.1,"<tibble[,3]>",0.6051892049313421,1.5328588085492938,0.36276017834933494,0.7917263369563374,0.1008416891793653,men_taller
14,0.2,"<tibble[,3]>",0.7031922515873437,2.3691842795481373,0.39307089452550115,0.5981481979319103,0.2016833783587306,men_taller
14,0.5,"<tibble[,3]>",0.9088997360573694,9.976916605090633,0.6817192699094862,0.19376861034894952,0.5042084458968193,men_taller
14,0.8,"<tibble[,3]>",0.9835956387550805,59.95939884947983,1.8056585472400626,0.04240418715944817,0.8067335134349081,men_taller
21,0.1,"<tibble[,3]>",0.6277576770295465,1.6864220919859625,0.316171455818792,0.7461836412770986,0.10058119248830481,men_taller
21,0.2,"<tibble[,3]>",0.7427480052415683,2.8872390511064223,0.35920601869936924,0.5182321241474266,0.20116238497660965,men_taller
21,0.5,"<tibble[,3]>",0.9484071337216025,18.382524603381242,0.863684714284774,0.11103686442022309,0.502905962441517,men_taller
21,0.8,"<tibble[,3]>",0.9954378647473343,218.19560570145447,4.095196804648591,0.012762271030246906,0.8046495399064243,men_taller
38,0.1,"<tibble[,3]>",0.6690735170139652,2.02181919977133,0.25799963895890393,0.6631267327966339,0.10033641816391423,men_taller
38,0.2,"<tibble[,3]>",0.8091348525922772,4.239301221735458,0.33052979539736516,0.3845604484220836,0.20067283632782845,men_taller
38,0.5,"<tibble[,3]>",0.9856207619892708,68.54471434813532,1.8152245577253814,0.03191955868669482,0.501682090819564,men_taller
38,0.8,"<tibble[,3]>",0.9997663657142222,4279.193708172393,37.026167601401305,7.947409884811787e-4,0.8026913453112996,men_taller
79,0.1,"<tibble[,3]>",0.7355082225538823,2.7808358719345074,0.20599576459197055,0.5299044856674224,0.10016995257470668,men_taller
79,0.2,"<tibble[,3]>",0.8960059227569619,8.615932238746282,0.3559238848939273,0.2098689461387915,0.2003399051494134,men_taller
79,0.5,"<tibble[,3]>",0.9991774563214031,1214.7409095961277,15.131537206998969,0.0019713189037220916,0.5008497628735264,men_taller
79,0.8,"<tibble[,3]>",0.9999997628988025,4217607.389466675,11045.162790256676,1.2961890022441753e-6,0.8013596205976394,men_taller
