Sample Size,cohen_d,data,PmP,AABF,JZSBF,pval,cohenD,matrix
11,0.1,"<tibble[,3]>",0.5936630696025004,1.4610118480290453,0.3925449311531618,0.8150842863161442,0.1010477569871418,sparklies_faster
11,0.2,"<tibble[,3]>",0.68223435505714225,2.146973299079657,0.4171242625081293,0.6406644169181417,0.2020955139742836,sparklies_faster
11,0.5,"<tibble[,3]>",0.8819695251198478,7.4723881778447225,0.632241499248163,0.24995031469052142,0.505238784935709,sparklies_faster
11,0.8,"<tibble[,3]>",0.9710083372513916,33.492674969047634,1.3157379871244168,0.07252667781652274,0.8083820558971344,sparklies_faster
25,0.1,"<tibble[,3]>",0.6388191523960537,1.7686960884940175,0.2977359624164949,0.7239183006373663,0.1004952090145255,sparklies_faster
25,0.2,"<tibble[,3]>",0.7613365435256272,3.190000491790322,0.347794810509253,0.48076556300417916,0.200990418029051,sparklies_faster
25,0.5,"<tibble[,3]>",0.9621764658815048,25.438565916848482,1.0126744013565652,0.08198508521657465,0.5024760450726274,sparklies_faster
25,0.8,"<tibble[,3]>",0.9977614732616465,445.7223834617169,6.743533034127433,0.006555467936998314,0.803961672116204,sparklies_faster
37,0.1,"<tibble[,3]>",0.66698372435271025,2.002856235949075,0.26032741985493074,0.6673222041792124,0.10034483611885311,sparklies_faster
37,0.2,"<tibble[,3]>",0.8059859460687446,4.1542657850669285,0.3311264251719708,0.3908944330566082,0.20068967223770623,sparklies_faster
37,0.5,"<tibble[,3]>",0.9845359790584515,63.66623420776711,1.7310842700810996,0.03426408963125675,0.5017241805942656,sparklies_faster
37,0.8,"<tibble[,3]>",0.9997225954646306,3603.843729999115,32.37967244964364,9.327968939255017e-4,0.8027586889508249,sparklies_faster
74,0.1,"<tibble[,3]>",0.7288621949504007,2.6881614491828976,0.2096576228400295,0.5432227340148927,0.10018070600433439,sparklies_faster
74,0.2,"<tibble[,3]>",0.8885306217687767,7.971073633564904,0.3491693941951792,0.2249043274274949,0.20036141200866878,sparklies_faster
74,0.5,"<tibble[,3]>",0.9988438393169684,863.9316783354632,11.547246116147372,0.0027450166581306458,0.500903530021672,sparklies_faster
74,0.8,"<tibble[,3]>",0.9999994559674823,1838124.4194511971,5441.277474844901,2.806822250578022e-6,0.8014456480346751,sparklies_faster
