Sample Size,cohen_d,data,PmP,AABF,JZSBF,pval,cohenD,matrix
10,0.1,"<tibble[,3]>",0.5939844622823627,1.4629599291233233,0.40543860434775136,0.8147169681051962,-0.10635035846253117,teachers_more
10,0.2,"<tibble[,3]>",0.6828250372515843,2.152833979500467,0.43055213988488383,0.6400708524450293,-0.21270071692506234,teachers_more
10,0.5,"<tibble[,3]>",0.8827866897527269,7.531454302334779,0.6488775139024774,0.24987656353534332,-0.5317517923126559,teachers_more
10,0.8,"<tibble[,3]>",0.9714440242266243,34.01893992123189,1.3298197604580622,0.07323508338621769,-0.8508028677002494,teachers_more
23,0.1,"<tibble[,3]>",0.6334217034990243,1.7279301844792612,0.3064223634902059,0.7347792278946539,-0.10053464947402274,teachers_more
23,0.2,"<tibble[,3]>",0.7523359965363684,3.037728478966649,0.35298396625276607,0.4989017179541271,-0.20106929894804548,teachers_more
23,0.5,"<tibble[,3]>",0.9558699456870653,21.66029388744472,0.9336737782085099,0.09531264327548401,-0.5026732473701138,teachers_more
23,0.8,"<tibble[,3]>",0.9968085745663154,312.3396097697525,5.244155299518622,0.00913421714417865,-0.8042771957921819,teachers_more
39,0.1,"<tibble[,3]>",0.6711309746675702,2.0407241879625873,0.2557599940318611,0.6589965904402488,-0.10032841266293906,teachers_more
39,0.2,"<tibble[,3]>",0.8122118604333853,4.325149939223224,0.3300242414962486,0.3783714380249872,-0.2006568253258781,teachers_more
39,0.5,"<tibble[,3]>",0.9866265340711561,73.77493159370097,1.9040787449445362,0.02974199042078245,-0.5016420633146953,teachers_more
39,0.8,"<tibble[,3]>",0.999803176104042,5079.683903406613,42.355805832817694,6.773037694180014e-4,-0.8026273013035125,teachers_more
81,0.1,"<tibble[,3]>",0.7380849550356802,2.818031912356269,0.20464991657648704,0.524741218594861,-0.10016600901213837,teachers_more
81,0.2,"<tibble[,3]>",0.8988285930267291,8.884215609101856,0.35884390023948776,0.20419106483901514,-0.20033201802427675,teachers_more
81,0.5,"<tibble[,3]>",0.9992818691720694,1391.5039297944986,16.869179624768684,0.0017275485643611433,-0.5008300450606918,teachers_more
81,0.8,"<tibble[,3]>",0.9999998298325972,5876565.150069805,14670.032775498426,9.520705834283809e-7,-0.801328072097107,teachers_more
