Sample Size,cohen_d,data,PmP,AABF,JZSBF,pval,cohenD,matrix
11,0.1,"<tibble[,3]>",0.5936630696025004,1.4610118480290453,0.3925449311531618,0.8150842863161442,0.1010477569871418,sparklies_faster
11,0.2,"<tibble[,3]>",0.68223435505714225,2.146973299079657,0.4171242625081293,0.6406644169181417,0.2020955139742836,sparklies_faster
11,0.5,"<tibble[,3]>",0.8819695251198478,7.4723881778447225,0.632241499248163,0.24995031469052142,0.505238784935709,sparklies_faster
11,0.8,"<tibble[,3]>",0.9710083372513916,33.492674969047634,1.3157379871244168,0.07252667781652274,0.8083820558971344,sparklies_faster
25,0.1,"<tibble[,3]>",0.6388191523960537,1.7686960884940175,0.2977359624164949,0.7239183006373663,0.1004952090145255,sparklies_faster
25,0.2,"<tibble[,3]>",0.7613365435256272,3.190000491790322,0.347794810509253,0.48076556300417916,0.200990418029051,sparklies_faster
25,0.5,"<tibble[,3]>",0.9621764658815048,25.438565916848482,1.0126744013565652,0.08198508521657465,0.5024760450726274,sparklies_faster
25,0.8,"<tibble[,3]>",0.9977614732616465,445.7223834617169,6.743533034127433,0.006555467936998314,0.803961672116204,sparklies_faster
37,0.1,"<tibble[,3]>",0.66698372435271025,2.002856235949075,0.26032741985493074,0.6673222041792124,0.10034483611885311,sparklies_faster
37,0.2,"<tibble[,3]>",0.8059859460687446,4.1542657850669285,0.3311264251719708,0.3908944330566082,0.20068967223770623,sparklies_faster
37,0.5,"<tibble[,3]>",0.9845359790584515,63.66623420776711,1.7310842700810996,0.03426408963125675,0.5017241805942656,sparklies_faster
37,0.8,"<tibble[,3]>",0.9997225954646306,3603.843729999115,32.37967244964364,9.327968939255017e-4,0.8027586889508249,sparklies_faster
74,0.1,"<tibble[,3]>",0.7288621949504007,2.6881614491828976,0.2096576228400295,0.5432227340148927,0.10018070600433439,sparklies_faster
74,0.2,"<tibble[,3]>",0.8885306217687767,7.971073633564904,0.3491693941951792,0.2249043274274949,0.20036141200866878,sparklies_faster
74,0.5,"<tibble[,3]>",0.9988438393169684,863.9316783354632,11.547246116147372,0.0027450166581306458,0.500903530021672,sparklies_faster
74,0.8,"<tibble[,3]>",0.9999994559674823,1838124.4194511971,5441.277474844901,2.806822250578022e-6,0.8014456480346751,sparklies_faster
9,0.1,"<tibble[,3]>",0.5896626847901237,1.4370194055798398,0.4190118092896076,0.8235452998941487,-0.10685673382757638,women_taller
9,0.2,"<tibble[,3]>",0.6748533343831247,2.075535153044791,0.442072684738353,0.6563813395009246,-0.21371346765515262,women_taller
9,0.5,"<tibble[,3]>",0.8714740760375899,6.780531500341278,0.636871898403727,0.2737497628089435,-0.534283669137874,women_taller
9,0.8,"<tibble[,3]>",0.965116382162921,27.666751386579676,1.2038018275684261,0.08856793634749746,-0.8548538706205953,women_taller
22,0.1,"<tibble[,3]>",0.6306251638250844,1.7072770044531547,0.31115128335731573,0.7404090353667981,-0.10055691664190224,women_taller
22,0.2,"<tibble[,3]>",0.747620041384085,2.962279752656005,0.35595362714733497,0.5084081080755523,-0.20111383328380447,women_taller
22,0.5,"<tibble[,3]>",0.9522972372883166,19.963146433342338,0.8975972513536086,0.10284607210868611,-0.502784583209504,women_taller
22,0.8,"<tibble[,3]>",0.9961856557114679,261.1682586457955,4.631581899465483,0.010792922433899949,-0.8044553331352036,women_taller
40,0.1,"<tibble[,3]>",0.6731572750682282,2.05957551972053,0.25360350096793377,0.6549293772346818,-0.10032078968525598,women_taller
40,0.2,"<tibble[,3]>",0.8152196171643754,4.41182989586926,0.3296052278898574,0.3723220254663404,-0.20064157937051197,women_taller
40,0.5,"<tibble[,3]>",0.9875593628487787,79.38173510283852,1.997905999279001,0.027718802484447663,-0.5016039484262728,women_taller
40,0.8,"<tibble[,3]>",0.9998341437434316,6028.317317836773,48.47038111941185,5.773712904395009e-4,-0.8025663174820337,women_taller
75,0.1,"<tibble[,3]>",0.7302156017944689,2.706663567839697,0.2088891868026113,0.540510475065918,-0.10017844515435416,women_taller
